Date;Close;High;Low;Open;Volume
01/05/2023;28.891.237.258.911.100;29.039.141.923.615.900;2.776.197.146.754.510;2.782.193.199.383.700;570329000
02/05/2023;28.191.692.352.294.900;2.881.728.747.000.180;2.806.477.586.620.420;28.661.388.568.150.400;402730000
03/05/2023;27.783.958.435.058.500;28.348.592.322.124.100;274.541.726.589.013;278.219.338.823.804;383387000
04/05/2023;2.754.411.506.652.830;27.840.921.319.115.900;27.222.323.511.757.100;27.633.056.109.035.900;321850000
05/05/2023;2.866.138.458.251.950;28.736.334.757.570.500;27.713.001.157.721.600;27.807.938.808.563.800;361494000
08/05/2023;29.132.076.263.427.700;29.201.031.717.397.800;2.833.159.752.844.970;28.503.484.856.309.700;344979000
09/05/2023;2.855.245.590.209.960;28.954.195.421.712.200;2.843.153.605.029.760;2.888.024.404.414.100;314869000
10/05/2023;28.866.254.806.518.500;29.094.107.482.413.500;28.442.530.182.163.900;28.986.175.863.013.200;369350000
11/05/2023;28.559.452.056.884.700;2.893.121.227.658.870;28.227.668.698.313.300;28.877.246.468.531.400;322149000
12/05/2023;28.321.605.682.373.000;28.761.320.627.980.600;2.802.779.588.194.690;2.851.048.218.586.150;274222000
15/05/2023;28.934.206.008.911.100;2.895.019.637.066.430;28.133.727.241.512.600;2.848.949.515.899.850;293926000
16/05/2023;29.194.042.205.810.500;29.850.617.354.397.000;2.881.329.083.509.010;2.882.228.386.631.900;449405000
17/05/2023;30.158.411.026.000.900;30.179.397.303.455.600;29.410.897.359.281.200;2.956.479.672.728.250;432535000
18/05/2023;31.657.438.278.198.200;31.807.340.536.574.900;3.030.031.991.259.900;3.039.026.164.884.710;748725000
19/05/2023;31.243.709.564.208.900;31.559.504.464.567.900;30.895.935.843.609.600;31.515.532.395.418.200;473908000
22/05/2023;311.557.674.407.959;31.499.544.048.329.200;30.660.089.053.951.900;30.880.944.390.289.000;372000000
23/05/2023;3.066.808.319.091.790;31.267.694.171.698.200;30.611.120.976.902.000;30.979.880.977.168.100;356253000
24/05/2023;3.051.818.084.716.790;3.058.713.630.992.960;29.786.655.566.782.400;3.019.039.269.854.060;721419000
25/05/2023;37.955.352.783.203.100;3.945.437.937.248.700;3.661.122.438.823.420;38.497.999.676.577.300;1543911000
26/05/2023;3.892.072.296.142.570;3.914.457.660.817.050;3.752.562.906.518.610;37.865.408.555.661.500;714397000
30/05/2023;4.008.496.856.689.450;4.191.078.253.323.840;3.992.307.495.310.240;4.056.865.561.638.490;923401000
31/05/2023;37.809.444.427.490.200;4.026.884.571.341.780;3.779.745.117.886.430;39.462.370.269.421.500;1002580000
01/06/2023;3.974.419.021.606.440;4.002.400.727.959.350;3.831.511.796.351.830;3.846.401.952.597.580;635873000
02/06/2023;3.930.147.933.959.960;40.473.718.484.515.500;3.903.265.289.434.990;40.070.980.123.808.800;482731000
